,class,MTH,FLD,RFC,INT,SZ,CPX,EX,RET,BCM,NML,WRD,DCM
166,RemoveUnusedPrototypePropertiesTest,32,3,84,0,10,0,0,1,1,22.781,10,0.21
167,TypeInferenceTest,129,6,690,0,21,4,0,1,1,13.767,3,0.016
168,NodeUtilTest,82,0,1899,0,64,4,0,3,1,19.659,3,0.006
169,IntegrationTest,170,2,730,0,17,2,0,1,2,22.082,10,0.036
170,InferJSDocInfoTest,11,2,108,0,10,3,0,2,1,15.727,10,0.286
171,VariableVisibilityAnalysisTest,15,2,49,0,6,1,0,1,1,17.333,10,0.31
172,FlowSensitiveInlineVariablesTest,79,1,197,0,7,0,0,1,1,23.114,5,0.073
173,GatherSideEffectSubexpressionsCallbackTest,13,0,74,0,8,1,0,1,1,26.385,4,0.154
174,CheckRegExpTest,3,1,22,0,17,0,0,1,1,11.667,6,0.318
175,RenameLabelsTest,4,0,18,0,10,0,0,1,1,16.25,4,0.438
176,MaybeReachingVariableUseTest,14,3,70,0,10,0,0,0,4,13.857,16,1.1
177,ConcreteTypeTest,12,3,162,0,15,3,0,1,4,12.5,9,0.537
178,VarCheckTest,52,5,131,0,11,3,0,2,0,25.942,0,0.0
179,DiagnosticGroupTest,1,0,3,0,1,0,0,0,1,16.0,9,11.0
180,RenamePrototypesTest,16,3,50,0,9,0,0,1,2,19.562,18,0.923
181,DataFlowAnalysisTest,13,0,143,0,32,9,0,2,1,28.231,39,0.362
182,CompilerTypeTestCase,3,4,10,0,6,0,0,1,0,11.333,0,0.0
183,PureFunctionIdentifierTest,114,4,374,0,13,1,0,1,1,23.64,4,0.051
184,DenormalizeTest,5,0,23,0,8,0,0,1,1,14.2,6,0.381
185,RenameLocalVarsTest,13,2,26,0,3,0,0,1,1,20.846,6,0.476
186,DotFormatterTest,5,0,35,0,6,0,0,0,4,18.8,8,1.947
187,StripCodeTest,53,1,122,0,10,0,0,1,2,27.943,17,0.463
188,ControlFlowAnalysisTest,57,0,272,0,9,2,0,2,15,16.772,55,3.152
189,RemoveUnusedVarsTest,85,3,228,0,21,0,0,1,0,21.541,0,0.0
190,GatherRawExportsTest,20,2,41,0,2,0,0,1,1,17.35,10,0.591
191,MarkNoSideEffectCallsTest,23,2,114,0,8,0,0,1,1,18.304,4,0.143
192,ReplaceCssNamesTest,21,6,107,0,13,0,0,2,1,25.19,4,0.089
193,ReorderConstantExpressionTest,8,0,48,0,15,0,0,1,4,12.5,20,1.449
194,FunctionNamesTest,2,1,26,0,23,1,0,1,1,18.0,4,0.32
195,OptimizeArgumentsArrayTest,20,0,48,0,3,0,0,1,1,30.25,5,0.29
196,StrictModeCheckTest,40,3,98,0,14,0,0,1,0,14.6,0,0.0
197,CheckDebuggerStatementTest,8,1,15,0,4,1,0,1,1,24.25,15,1.0
198,OptimizeReturnsTest,26,1,82,0,7,0,0,1,2,20.808,8,0.6
199,ScopedAliasesTest,57,4,179,0,10,0,0,1,1,18.053,10,0.125
200,InlineFunctionsTest,231,7,501,0,6,1,0,1,2,25.502,14,0.084
201,JsMessageTest,3,0,37,0,5,0,0,0,1,15.0,6,0.875
202,JSModuleTest,5,5,86,0,15,1,0,0,1,14.0,4,0.205
203,ClosureOptimizePrimitivesTest,8,0,15,0,1,0,0,1,1,18.625,10,1.625
204,LiveVariableAnalysisTest,30,1,207,0,19,4,0,3,1,16.067,22,0.165
205,TransformAMDToCJSModuleTest,11,0,35,0,9,0,0,1,1,15.545,5,0.267
206,OptimizeParametersTest,58,0,183,0,12,0,0,1,1,28.121,4,0.062
207,ProcessDefinesTest,44,2,124,0,4,0,0,1,2,20.841,20,0.42
208,SemanticReverseAbstractInterpreterTest,39,3,303,0,8,2,0,1,16,15.667,19,3.242
209,DefinitionsRemoverTest,6,0,23,0,6,1,0,1,1,20.333,23,1.381
210,TernaryValueTest,7,0,91,0,9,0,0,0,1,9.0,39,0.905
211,JSTypeRegistryTest,11,0,147,0,15,1,0,1,1,22.545,3,0.096
212,BooleanLiteralSetTest,4,0,88,0,16,0,0,0,1,11.0,3,0.167
213,UnionTypeBuilderTest,9,0,53,0,8,1,0,1,1,16.222,10,0.448
214,JSTypeTest,163,22,6444,0,211,5,0,2,73,25.227,56,0.283
215,RecordTypeTest,7,0,99,0,5,0,0,0,0,21.0,0,0.0
216,UnionTypeTest,22,1,298,0,25,0,0,0,10,21.773,24,1.077
217,FunctionParamBuilderTest,1,0,27,0,8,0,0,0,1,9.0,9,1.375
218,PrototypeObjectTypeTest,1,0,10,0,5,0,0,0,0,12.0,0,0.0
219,ParameterizedTypeTest,8,0,47,0,11,0,0,1,2,15.875,8,1.053
220,NamedTypeTest,2,0,15,0,3,0,0,0,1,23.5,6,1.167
221,FunctionTypeTest,25,0,281,0,7,0,0,0,1,26.36,9,0.162
222,EnumElementTypeTest,2,0,35,0,6,0,0,0,1,13.5,9,0.917
223,JSDocInfoTest,30,2,417,0,29,0,0,1,2,18.533,13,0.119
224,IRTest,15,0,103,0,5,0,0,0,1,10.867,6,0.25
225,NodeTest,39,0,349,0,19,0,0,1,0,23.974,0,0.0
226,Mapping,2,5,0,0,1,0,0,1,0,17.0,0,0.0
227,FunctionInfo,2,7,0,0,1,0,0,1,0,17.0,0,0.0
228,FunctionInformationMap,34,8,81,1,16,5,0,4,0,13.588,0,0.0
229,Instrumentation,42,17,107,1,30,7,0,2,0,14.619,0,0.0
230,InstrumentationTemplate,2,3,0,0,1,0,0,1,0,17.0,0,0.0
231,SourceMapGeneratorFactory,2,0,1,0,5,1,1,3,3,11.0,12,6.167
232,Util,4,1,41,0,46,8,1,1,5,18.0,31,1.333
233,Base64,3,2,3,0,5,1,0,1,4,11.0,18,8.0
234,SourceMapConsumerV1,8,5,104,1,32,8,0,4,7,13.75,46,2.046
