,params,mean_test_f1,mean_test_recall,mean_test_precision
3620,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 4, 'min_samples_split': 20, 'splitter': 'best'}",0.2174953873096288,0.14835164835164835,0.4477777777777778
3621,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 4, 'min_samples_split': 20, 'splitter': 'random'}",0.12629072681704262,0.07362637362637363,0.6333333333333334
3622,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 4, 'min_samples_split': 21, 'splitter': 'best'}",0.21618819776714515,0.14835164835164835,0.4377777777777777
3623,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 4, 'min_samples_split': 21, 'splitter': 'random'}",0.12272727272727273,0.08571428571428572,0.3
3624,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 4, 'min_samples_split': 22, 'splitter': 'best'}",0.21618819776714515,0.14835164835164835,0.4377777777777777
3625,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 4, 'min_samples_split': 22, 'splitter': 'random'}",0.11947712418300656,0.07362637362637363,0.33999999999999997
3626,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 4, 'min_samples_split': 23, 'splitter': 'best'}",0.2174953873096288,0.14835164835164835,0.4477777777777778
3627,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 4, 'min_samples_split': 23, 'splitter': 'random'}",0.1018627450980392,0.05934065934065934,0.45
3628,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 4, 'min_samples_split': 24, 'splitter': 'best'}",0.2174953873096288,0.14835164835164835,0.4477777777777778
3629,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 4, 'min_samples_split': 24, 'splitter': 'random'}",0.07954545454545456,0.06043956043956045,0.16666666666666666
3630,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 4, 'min_samples_split': 25, 'splitter': 'best'}",0.21618819776714515,0.14835164835164835,0.4377777777777777
3631,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 4, 'min_samples_split': 25, 'splitter': 'random'}",0.02222222222222222,0.015384615384615385,0.04
3632,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 4, 'min_samples_split': 26, 'splitter': 'best'}",0.21618819776714515,0.14835164835164835,0.4377777777777777
